id,platform_id,asset,is_otc,amount,direction,entry_time,exit_time,entry_balance,exit_balance,result,profit,status,expiration,timeframe,model_votes,indicator_votes,wm_confidence,resolved_by,created_at
82,13628635489,EURUSD-OTC,1,14.0,call,2026-02-19T11:08:31.101793,,90832.95,,,,open,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9701495045039387,,2026-02-19 11:08:31
81,13628625191,EURUSD-OTC,1,14.0,call,2026-02-19T11:02:21.720591,2026-02-19T11:07:21.890788,90846.95,90846.95,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": ""put"", ""trend"": ""call""}",0.9419660484397737,,2026-02-19 11:02:21
80,13628616043,GBPUSD-OTC,1,10.0,call,2026-02-19T10:57:19.466843,2026-02-19T11:02:19.637709,90860.95,90860.95,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""put""}",0.7825075734016735,,2026-02-19 10:57:19
79,13628602517,GBPUSD-OTC,1,10.0,call,2026-02-19T10:49:35.352918,2026-02-19T10:55:00.637605,90852.45,90870.95,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""put""}",0.7705291010221228,,2026-02-19 10:49:35
78,13628591446,EURUSD-OTC,1,14.0,call,2026-02-19T10:43:26.589294,2026-02-19T10:48:26.754790,90836.55,90862.45,win,25.89999999999418,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": ""call"", ""momentum"": ""call"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9922500838012005,,2026-02-19 10:43:26
77,13628582877,GBPUSD-OTC,1,20.0,call,2026-02-19T10:38:24.332945,2026-02-19T10:43:24.502634,90813.55,90850.55,win,37.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""put""}",0.9958529708397418,,2026-02-19 10:38:24
76,13628572845,EURUSD-OTC,1,7.0,call,2026-02-19T10:32:16.484929,2026-02-19T10:37:16.692441,90820.6,90833.55,win,12.94999999999709,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": ""call"", ""momentum"": ""put"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9238504271248016,,2026-02-19 10:32:16
75,13628530669,GBPUSD-OTC,1,10.0,call,2026-02-19T10:09:44.345947,2026-02-19T10:15:00.666120,90809.1,90827.6,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""put""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""put""}",0.8211963727106758,,2026-02-19 10:09:44
74,13628514494,GBPUSD-OTC,1,10.0,call,2026-02-19T09:58:44.092125,2026-02-19T10:04:00.416847,90800.6,90819.1,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": ""put"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.7705778957303374,,2026-02-19 09:58:44
73,13628498848,EURUSD-OTC,1,10.0,call,2026-02-19T09:49:07.366877,2026-02-19T09:54:07.532751,90792.1,90810.6,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""put""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""put""}",0.8862715442150182,,2026-02-19 09:49:07
72,13628485401,GBPUSD-OTC,1,20.0,call,2026-02-19T09:39:30.593564,2026-02-19T09:44:30.768674,90765.1,90802.1,win,37.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9957842373962099,,2026-02-19 09:39:30
71,13628475738,GBPUSD-OTC,1,20.0,call,2026-02-19T09:33:19.717604,2026-02-19T09:38:19.891422,90785.1,90785.1,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9957842373962099,,2026-02-19 09:33:19
70,13628466792,GBPUSD-OTC,1,10.0,call,2026-02-19T09:27:09.376209,2026-02-19T09:32:09.545853,90805.1,90805.1,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": ""put"", ""trend"": ""call""}",0.9510997813166608,,2026-02-19 09:27:09
69,13628458151,GBPUSD-OTC,1,10.0,call,2026-02-19T09:20:37.943336,2026-02-19T09:26:00.554148,90796.6,90815.1,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9027674678733688,,2026-02-19 09:20:37
68,13628445261,GBPUSD-OTC,1,20.0,call,2026-02-19T09:12:09.776892,2026-02-19T09:17:09.957971,90806.6,90806.6,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9975650375085101,,2026-02-19 09:12:09
67,13628436090,GBPUSD-OTC,1,10.0,call,2026-02-19T09:05:45.092675,2026-02-19T09:11:00.498297,90808.1,90826.6,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""put""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.97800625233483,,2026-02-19 09:05:45
66,13628420206,GBPUSD-OTC,1,20.0,call,2026-02-19T08:54:47.119212,2026-02-19T09:00:00.957587,90818.1,90818.1,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9975348231109915,,2026-02-19 08:54:47
65,13628403766,GBPUSD-OTC,1,20.0,call,2026-02-19T08:44:16.068664,2026-02-19T08:49:16.245685,90801.1,90838.1,win,37.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": ""put"", ""trend"": ""call""}",0.9933188797115734,,2026-02-19 08:44:16
64,13628393206,GBPUSD-OTC,1,20.0,call,2026-02-19T08:36:45.541034,2026-02-19T08:42:00.482280,90784.1,90821.1,win,37.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": ""put"", ""trend"": ""call""}",0.9932557802146599,,2026-02-19 08:36:45
63,13628362962,GBPUSD-OTC,1,20.0,call,2026-02-19T08:15:39.378535,2026-02-19T08:21:00.564392,90767.1,90804.1,win,37.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9974859460331091,,2026-02-19 08:15:39
62,13628346993,GBPUSD-OTC,1,10.0,call,2026-02-19T08:04:40.086493,2026-02-19T08:10:00.352491,90768.6,90787.1,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": null, ""rsi"": null, ""sma"": ""call"", ""stochastic"": null, ""trend"": ""call""}",0.9611540200962864,,2026-02-19 08:04:40
61,13628330702,EURJPY-OTC,1,10.0,call,2026-02-19T07:53:42.805410,2026-02-19T07:59:00.574994,90778.6,90778.6,draw,0.0,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.925287993336818,,2026-02-19 07:53:42
60,13628316948,GBPUSD-OTC,1,10.0,call,2026-02-19T07:45:13.300095,2026-02-19T07:50:13.470066,90770.1,90788.6,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.8914675330960977,,2026-02-19 07:45:13
59,13628307339,EURJPY-OTC,1,10.0,call,2026-02-19T07:39:02.962215,2026-02-19T07:44:03.230292,90761.6,90780.1,win,18.5,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9236899060994034,,2026-02-19 07:39:02
58,13628292444,GBPUSD-OTC,1,20.0,call,2026-02-19T07:29:25.466721,2026-02-19T07:34:25.641373,90771.6,90771.6,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9973361846083447,,2026-02-19 07:29:25
57,13628280575,EURJPY-OTC,1,10.0,call,2026-02-19T07:20:33.387826,2026-02-19T07:26:00.373135,90791.6,90791.6,draw,0.0,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9236899060994034,,2026-02-19 07:20:33
56,13628273564,GBPUSD-OTC,1,10.0,call,2026-02-19T07:15:31.070578,2026-02-19T07:20:31.244410,90783.1,90801.6,win,18.5,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""put""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9770578932544657,,2026-02-19 07:15:31
55,13628264907,EURUSD-OTC,1,14.0,call,2026-02-19T07:09:20.342498,2026-02-19T07:14:20.500926,90793.1,90793.1,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9647551708075989,,2026-02-19 07:09:20
54,13628255684,EURJPY-OTC,1,10.0,call,2026-02-19T07:03:12.436472,2026-02-19T07:08:12.606937,90807.1,90807.1,draw,0.0,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9291871748023165,,2026-02-19 07:03:12
53,13628246108,EURJPY-OTC,1,20.0,call,2026-02-19T06:57:02.471568,2026-02-19T07:02:02.646051,90780.1,90817.1,win,37.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9918255690113018,,2026-02-19 06:57:02
